sample,crossings,bin_width_ps,bin_width_err_ps
0,15126,96.1265927361698,0.7815945109683957
1,16009,101.73810809952019,0.8040842491754093
2,14923,94.83651615773252,0.7763320612587937
3,15390,97.80432779384195,0.7883857441378539
4,15813,100.49251692033936,0.7991468430670022
5,14899,94.68399478885323,0.7757075398239942
6,16022,101.82072384099648,0.8044106585079461
7,14799,94.04848908518953,0.7730999368425163
8,17079,108.53801912872167,0.8305211028063124
9,14383,91.4047853579486,0.7621565615877863
10,16098,102.30370817578087,0.8063162534121115
11,15481,98.3826379841759,0.7907131438165411
12,14691,93.36214292523275,0.7702738106365169
13,16227,103.12351053350703,0.8095404815441064
14,15590,99.07533920116933,0.7934919227992049
15,15655,99.48841790855073,0.7951443707237122
16,15635,99.36131676781798,0.7946362912017233
17,15834,100.62597311810873,0.7996773090019954
18,14991,95.26866003622384,0.7780988165613499
19,16154,102.65959136983254,0.8077174991995182
20,16206,102.99005433573767,0.8090164828419422
21,15737,100.00953258555496,0.797224111394405
22,15837,100.64503828921865,0.7997530611273017
23,15695,99.74262019001621,0.7961595570557228
24,15783,100.30186520924025,0.7983884231912363
25,15689,99.70448984779638,0.7960073616440562
26,15801,100.41625623589971,0.7988435615217093
27,15744,100.05401798481142,0.7974013989442025
28,16043,101.95418003876584,0.804937655517435
29,15830,100.60055288996219,0.7995762950043712
30,14357,91.23955387499603,0.7614673787319489
31,16685,106.03412665628673,0.8208854504318392
32,15709,99.83159098852911,0.7965145665901593
33,15176,96.44434558800165,0.7828852515361822
34,16198,102.93921387944455,0.8088167749932214
35,16791,106.70776270217026,0.8234888695205346
36,14264,90.6485335705888,0.7589971021872132
37,15098,95.94865113914398,0.7808707643250812
38,16718,106.24384353849577,0.8216968330708521
39,15930,101.23605859362587,0.802097828526426
40,15554,98.8465571478504,0.7925752384157473
41,15377,97.72171205236567,0.7880526973563328
42,15734,99.99046741444505,0.7971481189457716
43,15793,100.36541577960662,0.7986413098413939
44,14232,90.44517174541642,0.7581452533192711
45,17464,110.9847160878269,0.8398298642779343
46,14925,94.84922627180579,0.776384082035564
47,15914,101.13437768103968,0.8016949161169638
48,14350,91.19506847573957,0.7612817229011433
49,17562,111.60751167741732,0.8421829388126469
50,14052,89.30126147882177,0.7533356556950815
51,15646,99.431222395221,0.794915775125993
52,14657,93.1460709859871,0.7693819557635712
53,16481,104.73769502081281,0.8158517179874947
54,15466,98.28731212862635,0.7903299782718322
55,15345,97.51835022719328,0.7872322896150453
56,16485,104.76311524895937,0.8159507171042271
57,15821,100.54335737663244,0.7993489668370549
58,15738,100.0158876425916,0.7972494406009563
59,15739,100.02224269962822,0.7972747690028053
60,15165,96.37443996059865,0.7826014712633392
61,15169,96.3998601887452,0.7827046759942724
62,15948,101.35044962028535,0.8025508632016467
63,22365,142.13085062438435,0.9503944772480964
