sample,crossings,bin_width_ps,bin_width_err_ps
0,15945,102.97903344134318,0.8155236301772253
1,15202,98.18044944341794,0.7962962156126633
2,15349,99.12983281851217,0.8001369578929348
3,15173,97.99315612452179,0.7955363282991977
4,15874,102.52048772956297,0.8137059199718721
5,15162,97.9221138311474,0.7952479052376494
6,17149,110.75493537068637,0.8457532743207402
7,13706,88.51869754449983,0.756100719606008
8,16247,104.92946731398574,0.823210455834046
9,16676,107.70011675558726,0.834008027594205
10,14942,96.50126796365944,0.7894573158866034
11,15881,102.56569646171032,0.8138853112292616
12,15795,102.01027489532865,0.8116786128599578
13,16224,104.78092433693018,0.8226275621879833
14,14823,95.73271951715459,0.7863073621489851
15,15156,97.88336348930682,0.7950905394687717
16,15976,103.17924354085287,0.8163160088736647
17,15125,97.68315338979716,0.7942769863131834
18,16228,104.80675789815723,0.8227289646613654
19,15986,103.2438274439205,0.8165714508828815
20,14889,96.15897327740099,0.7880559503760453
21,15555,100.46026122170544,0.8054884091588074
22,15265,98.58732803274404,0.797944511690119
23,14362,92.75540158573664,0.7739835828370474
24,15664,101.16422576514266,0.8083056693311177
25,16474,106.39552191362105,0.8289413775472716
26,14912,96.30751625445654,0.7886643959544803
27,15858,102.41715348465476,0.8132957342268546
28,16446,106.21468698503168,0.8282366237133215
29,15145,97.81232119593243,0.7948019546364005
30,14787,95.50021746611111,0.7853519458032387
31,15355,99.16858316035275,0.8002933313593754
32,16263,105.03280155889396,0.8236157037600543
33,15030,97.06960631065463,0.7917786335069139
34,15066,97.30210836169812,0.7927263042632292
35,15291,98.7552461807199,0.7986237691651804
36,16940,109.4051317965728,0.8405837511546148
37,14519,93.7693688638985,0.7782025333689992
38,15507,100.1502584869808,0.8042446509813854
39,14579,94.15687228230432,0.7798088427705846
40,15724,101.55172918354847,0.8098522725745085
41,15740,101.65506342845667,0.81026420152921
42,15662,101.15130898452914,0.8082540649214933
43,15573,100.57651224722719,0.8059543236347624
44,14586,94.20208101445165,0.7799960300544354
45,15320,98.94253949961603,0.7993807215781974
46,15736,101.62922986722963,0.8101612389261473
47,14739,95.19021473138648,0.7840762463688832
48,16479,106.42781386515487,0.8290671634051977
49,15079,97.38606743568604,0.7930682404058595
50,15776,101.88756547950015,0.8111902768602013
51,15460,99.8467141425629,0.8030249378322627
52,15487,100.02109068084553,0.803725850352644
53,15681,101.27401840035763,0.8087441738670227
54,14485,93.54978359346855,0.7772908178795602
55,15724,101.55172918354847,0.8098522725745085
56,13783,89.01599359812062,0.7582216234063885
57,15861,102.43652865557505,0.8133726598107796
58,16034,103.55383017864513,0.8177964618742184
59,15398,99.44629394354358,0.8014131149716296
60,15447,99.76275506857498,0.802687243146981
61,15189,98.09649036943001,0.7959556661833879
62,15181,98.04482324697591,0.7957460248638412
63,16289,105.20071970686982,0.8242738067046571
