sample,crossings,bin_width_ps,bin_width_err_ps
0,17166,108.77476116312988,0.83022075121801
1,14554,92.22345764698777,0.7644519899109289
2,15526,98.38267166601155,0.7895666953550545
3,16346,103.5787164145707,0.8101487709571923
4,15654,99.19376157798176,0.7928147016439633
5,13965,88.49117672393734,0.7488235603429401
6,15577,98.70584030281218,0.7908624214769117
7,16329,103.47099353563716,0.8097273800401228
8,15028,95.22702497725246,0.7768007270709814
9,14804,93.80761763130458,0.7709896862490583
10,15587,98.76920670218485,0.7911162365678447
11,16752,106.15139222910122,0.8201482496448096
12,15774,99.95415837045383,0.7958476687319973
13,15154,96.02544160934812,0.7800504139448432
14,15716,99.58663325409233,0.7943831805217617
15,15996,101.36089243652717,0.8014283992287455
16,15401,97.59059167385314,0.7863818669718168
17,15753,99.82108893177121,0.7953177344348413
18,16640,105.44168855612727,0.8174019909185766
19,15544,98.49673118488236,0.7900242531191075
20,14870,94.22583586716422,0.7727064091090893
21,15770,99.92881181070476,0.7957467560746803
22,15618,98.96564254024014,0.7919025463640093
23,15432,97.78702751190843,0.787172905960699
24,15836,100.3470300465644,0.7974101818883541
25,15937,100.9870306802284,0.799949030722814
26,15346,97.24207647730344,0.7849764489389975
27,16013,101.4686153154607,0.8018541514434886
28,14538,92.12207140799148,0.7640316726338416
29,16427,104.09198424948936,0.8121535720199163
30,15014,95.1383120181307,0.7764388111746355
31,15761,99.87178205126935,0.795519655792442
32,16626,105.35297559700554,0.8170580595514183
33,15614,98.94029598049107,0.791801130912948
34,14749,93.45910243475488,0.7695561584375893
35,16942,107.35535381718199,0.8247861677291959
36,14821,93.91534051023814,0.7714322377235924
37,16136,102.24802202774458,0.8049278848987587
38,14133,89.55573223339826,0.7533142966128843
39,16105,102.0515861896893,0.8041543115043639
40,15118,95.7973225716065,0.7791233150731125
41,15823,100.26465372737994,0.7970828119494164
42,16304,103.31257753720548,0.8091072888339823
43,15416,97.68564127291215,0.7867647270865024
44,14348,90.91810981991071,0.7590226121175161
45,16992,107.67218581404536,0.826002344283684
46,14672,92.9711811595853,0.7675447215314155
47,15497,98.1989091078308,0.788828960706159
48,14681,93.02821091902072,0.767780096513311
49,16427,104.09198424948936,0.8121535720199163
50,14578,92.37553700548219,0.7650820328667041
51,15062,95.44247073511954,0.7776789644651709
52,15536,98.44603806538423,0.789820926837753
53,15716,99.58663325409233,0.7943831805217617
54,14884,94.31454882628597,0.7730700723466063
55,15759,99.85910877139482,0.7954691802582524
56,15799,100.11257436888552,0.7964780831689715
57,15642,99.11772189873456,0.7925107665353648
58,14842,94.04840994892074,0.7719785686913951
59,15803,100.13792092863459,0.7965789031799031
60,16364,103.69277593344152,0.8105947108055612
61,15311,97.0202940794991,0.7840807803980203
62,14977,94.90385634045182,0.775481506089979
63,29494,186.8928583097607,1.0882429645789866
