sample,crossings,bin_width_ps,bin_width_err_ps
0,7505,95.42465481275454,1.1015018967446644
1,7654,97.319161617165,1.112382454036644
2,8059,102.46865997814642,1.1414331435777774
3,6986,88.8256680242376,1.062733061618261
4,8684,110.41541670805603,1.184867557702897
5,7965,101.27346776596802,1.134756792642716
6,7198,91.52120790702295,1.0787376139652056
7,7274,92.48753352537994,1.084417579699299
8,8835,112.33535313400218,1.195124578292592
9,7705,97.96761696632562,1.1160823048075652
10,6604,83.96861031091686,1.0332690794478934
11,8381,106.56282904539584,1.164012975099303
12,7734,98.33634647859343,1.1181806817672966
13,7903,100.48514949836098,1.130331659669549
14,7926,100.77759014602165,1.1319752596002934
15,7557,96.08582497268301,1.105311305470516
16,7584,96.42912486341511,1.1072840986613237
17,8547,108.67348763285985,1.1754840835735223
18,7328,93.17413330684414,1.088435332693428
19,8024,102.02364160127149,1.1389518413030744
20,8213,104.42674083639614,1.1522873985419835
21,7652,97.29373199562929,1.1122371110616935
22,8113,103.15525975961062,1.1452508928406975
23,7658,97.37002086023642,1.1126730830302476
24,8311,105.67279229164596,1.1591417330504343
25,7494,95.28479189430814,1.1006943708362495
26,8712,110.77143140955596,1.186776216839963
27,6683,84.97308036157743,1.0394309198591432
28,8773,111.54703486639515,1.1909237759158138
29,7253,92.22052249925498,1.082851094329583
30,7687,97.73875037250423,1.1147778772800636
31,8137,103.46041521803915,1.1469435912289285
32,7914,100.6250124168074,1.1311180271717018
33,7905,100.51057911989669,1.1304746762652589
34,8313,105.69822191318168,1.1592811954503914
35,6997,88.96553094268401,1.0635694104279272
36,8249,104.88447402403894,1.1548100448565977
37,7907,100.5360087414324,1.1306176747701968
38,7785,98.98480182775404,1.121861410395044
39,8004,101.76934538591438,1.1375315242007213
40,7780,98.92122777391477,1.1215010887508068
41,8311,105.67279229164596,1.1591417330504343
42,7072,89.91914175027317,1.0692543531651797
43,8691,110.504420383431,1.1853450106137304
44,7003,89.04181980729115,1.0640253236061552
45,7946,101.03188636137877,1.1334025395261822
46,8056,102.43051554584287,1.141220671920755
47,7723,98.19648356014702,1.1173852095567087
48,7216,91.75007450084435,1.0800855684689377
49,8229,104.63017780868182,1.1534092558343934
50,7727,98.24734280321844,1.1176745376841772
51,8255,104.96076288864606,1.1552299503470602
52,7196,91.49577828548723,1.0785877372553523
53,7088,90.12257872255886,1.0704632335435367
54,7849,99.79854971689679,1.126463348075182
55,8400,106.8044104499851,1.1653316558147362
56,7584,96.42912486341511,1.1072840986613237
57,7915,100.63772722757524,1.1311894880194324
58,7916,100.6504420383431,1.1312609443530381
59,7227,91.88993741929076,1.0809084909261997
60,8699,110.60613886957384,1.18589043570212
61,7483,95.14492897586173,1.0998862520502386
62,7407,94.17860335750473,1.0942865804128188
63,11364,144.4911095659084,1.3554250682970204
