sample,crossings,bin_width_ps,bin_width_err_ps
0,15360,99.05104296604995,0.7992146663166391
1,15083,97.26477090214397,0.7919754195778915
2,16750,108.01464646362868,0.8345939704802281
3,13887,89.55220271286039,0.7599273145159297
4,15877,102.38498757630046,0.8125536762517754
5,15066,97.1551440967779,0.7915289772931301
6,15307,98.70926527873219,0.7978346213912725
7,15557,100.32142418117442,0.8043235097878526
8,15270,98.47066576117075,0.7968697771563023
9,16284,105.00958226947638,0.822902504304064
10,15756,101.60470266751842,0.8094514832537761
11,14935,96.31037283189818,0.7880802623044785
12,16518,106.51856300216231,0.8287939421093481
13,14340,92.4734346440857,0.7722224314298867
14,15759,101.62404857434773,0.8095285408467207
15,15861,102.28180940654417,0.8121441487634039
16,15678,101.10170908995646,0.8074454046224965
17,16224,104.62266413289025,0.8213850726159109
18,15702,101.2564763445909,0.8080631900262807
19,16838,108.58212639728835,0.836783464744601
20,15013,96.81336640946014,0.7901355087133136
21,16599,107.04090248655358,0.8308235525528794
22,14887,96.00083832262926,0.7868128269003828
23,14883,95.97504378019019,0.7867071151134083
24,14649,94.46606304750428,0.7804980577059804
25,16573,106.87323796069958,0.8301726134031828
26,15430,99.50244745873377,0.8010337233484913
27,14776,95.28503976994493,0.7838740335913101
28,15779,101.75302128654312,0.8100420708024815
29,15928,102.71386799239868,0.8138576698372276
30,15279,98.52870348165868,0.7971045764867888
31,14638,94.39512805579682,0.7802049629227594
32,16102,103.83593058849844,0.8182909504366284
33,16777,108.18875962509244,0.835266357454373
34,15005,96.761777324582,0.7899249603094121
35,15427,99.48310155190447,0.8009558484946999
36,15551,100.28273236751582,0.8041683896983792
37,15014,96.81981504506992,0.7901618233190429
38,17206,110.9552243016833,0.8458781298282443
39,15346,98.96076206751319,0.7988503578508497
40,14199,91.56417702310829,0.768416561853268
41,17556,113.21224676510239,0.8544381346542187
42,13767,88.77836643968813,0.7566368582087997
43,15329,98.85113526214711,0.7984077598054529
44,16100,103.82303331727891,0.8182401296465638
45,16758,108.06623554850682,0.8347932527109766
46,14609,94.20811762311352,0.7794317301943158
47,14971,96.54252371384986,0.7890295027932025
48,16065,103.597331070937,0.8173502543102682
49,14885,95.98794105140973,0.7867599727823706
50,17319,111.68392012558719,0.8486512265709891
51,13644,87.98518425968655,0.753249223264844
52,16096,103.79723877483984,0.8181384785958395
53,15080,97.24542499531466,0.7918966539340185
54,14458,93.23437364603842,0.7753931273543377
55,16167,104.25509190313342,0.8199409113748826
56,14922,96.22654056897119,0.7877371999073911
57,14557,93.87278857140554,0.7780433195972256
58,15886,102.44302529678836,0.8127839447856505
59,15639,100.85021230117546,0.8064404939597907
60,15838,102.13349078751948,0.8115550909472502
61,14676,94.64017620896804,0.7812170059695017
62,15673,101.0694659119076,0.8073166398259416
63,15350,98.98655660995226,0.7989544629347414
