sample,crossings,bin_width_ps,bin_width_err_ps
0,7653,98.61656696794407,1.1272857656822712
1,7613,98.10112692107123,1.1243359090867187
2,7937,102.27619130074115,1.148011812199993
3,7436,95.82030471365896,1.1111888043102436
4,7754,99.91805308629796,1.1347000260668376
5,8094,104.299293484717,1.1593104925187807
6,7038,90.69167624727432,1.081042573813244
7,7695,99.15777901716054,1.130374830138336
8,7843,101.06490719059,1.1411934597113216
9,8062,103.88694144721873,1.1570165293658223
10,7561,97.43105486013656,1.1204894854925902
11,7388,95.20177665741156,1.1075965897233617
12,8694,112.03089418780945,1.201511645296972
13,6717,86.55526987111986,1.0561019406224523
14,8772,113.03600227921147,1.206889414083929
15,7740,99.73764906989247,1.13367520162932
16,7461,96.14245474295447,1.1130551578782755
17,8672,111.74740216202939,1.199990481298845
18,8105,104.44103949760704,1.160097994719558
19,7736,99.68610506520518,1.1333822244434921
20,7255,93.48793850155941,1.0975817441458284
21,8331,107.35327576243851,1.1761608891956818
22,7066,91.0524842800853,1.0831908507416261
23,8397,108.20375183977869,1.1808105999705405
24,6765,87.17379792736725,1.0598687004738454
25,8053,103.77096743667235,1.156370532307846
26,8076,104.06734546362424,1.1580206973938483
27,7837,100.98759118355906,1.1407568620572464
28,7382,95.12446065038064,1.1071467433947588
29,8443,108.79650789368243,1.1840405095299718
30,7053,90.88496626485161,1.0821939668052885
31,8739,112.61076424054137,1.2046171341813317
32,6908,89.01649609493761,1.071011985456158
33,7999,103.07512337339404,1.1524869459456457
34,8351,107.61099578587492,1.1775718312687256
35,7065,91.03959827891347,1.0831141999365383
36,7902,101.82518125972742,1.1454778064343742
37,7768,100.09845710270343,1.1357239257508331
38,8630,111.20619011281292,1.1970810733226995
39,6987,90.03449018751145,1.0771186313775074
40,7663,98.74542697966227,1.1280220245065546
41,7949,102.43082331480299,1.1488793275471163
42,7843,101.06490719059,1.1411934597113216
43,7838,101.00047718473088,1.1408296399361717
44,7743,99.77630707340792,1.1338948848406891
45,8097,104.33795148823246,1.1595253188881811
46,7309,94.18378256483773,1.1016589002486243
47,7675,98.90005899372412,1.1289049012588563
48,7686,99.04180500661414,1.1297135988269198
49,8030,103.47458940972048,1.154718009033949
50,8029,103.46170340854866,1.1546461065456926
51,7168,92.36685639961101,1.0909809438311857
52,8014,103.26841339097135,1.1535670314152207
53,7686,99.04180500661414,1.1297135988269198
54,7829,100.88450317418452,1.1401744717897755
55,7317,94.28687057421229,1.1022616407671135
56,7275,93.74565852499582,1.0990935654466376
57,7783,100.29174712028075,1.136819937771979
58,7701,99.23509502419145,1.1308154362085232
59,7938,102.28907730191297,1.1480841301825018
60,7802,100.53658114254536,1.1382067046075988
61,6495,83.69457761097566,1.0385029731156639
62,8602,110.84538208000194,1.1951375332462042
63,8213,105.83272762416367,1.1678016322055547
